Дата,UserID,Продукт,Количество,Цена
2023-11-19,233,Товар A,5,479.03
2024-03-28,480,Товар C,7,712.85
2024-02-16,193,Товар D,1,945.36
2024-03-03,360,Товар E,6,805.24
2024-09-29,725,Товар B,2,250.83
2024-07-13,994,Товар C,6,891.58
2024-08-03,319,Товар D,2,312.0
2024-06-13,552,Товар C,10,434.26
2023-12-23,148,Товар C,7,326.54
2024-06-15,704,Товар C,6,724.27
2024-10-02,555,Товар E,9,707.17
2024-08-18,418,Товар C,8,386.13
2023-11-06,261,Товар D,5,116.97
2024-09-27,509,Товар D,9,532.4
2024-06-18,728,Товар E,9,751.47
2024-04-24,142,Товар A,7,980.75
2023-12-19,610,Товар B,4,171.22
2024-03-14,536,Товар D,2,374.54
2023-11-26,833,Товар D,1,167.7
2024-06-11,474,Товар B,3,651.59
2023-12-05,241,Товар B,4,572.89
2023-10-22,355,Товар E,10,521.16
2024-02-18,657,Товар B,5,453.8
2024-06-26,238,Товар D,1,742.0
2024-04-16,243,Товар C,7,754.45
2024-07-22,499,Товар E,1,691.09
2023-11-23,79,Товар C,4,899.96
2024-07-16,734,Товар D,3,515.28
2024-06-03,317,Товар C,5,976.1
2023-12-18,209,Товар A,2,599.65
2024-05-30,686,Товар E,3,219.03
2024-06-09,591,Товар E,1,740.63
2023-11-18,815,Товар E,5,498.99
2024-05-18,891,Товар D,2,152.71
2024-01-31,654,Товар D,5,359.56
2024-07-19,650,Товар E,4,719.5
2024-08-27,423,Товар A,2,524.24
2023-11-02,134,Товар C,7,606.25
2023-12-24,683,Товар A,7,191.12
2024-03-28,998,Товар B,3,799.78
2023-11-12,787,Товар B,9,623.63
2024-07-08,758,Товар D,2,117.48
2024-01-30,8,Товар C,3,479.28
2024-02-25,555,Товар B,9,248.38
2024-05-08,732,Товар B,6,957.17
2024-06-29,561,Товар D,4,824.07
2024-09-16,409,Товар B,6,671.6
2023-12-02,281,Товар A,1,903.36
2023-12-14,567,Товар B,5,645.9
2024-09-01,808,Товар A,5,834.16
2024-09-19,463,Товар E,10,641.14
2024-09-27,783,Товар A,2,413.43
2023-10-12,481,Товар B,4,221.23
2023-11-13,153,Товар A,7,353.3
2023-10-14,824,Товар C,1,799.0
2024-08-17,283,Товар E,9,345.67
2024-02-02,75,Товар A,2,866.6
2024-01-12,246,Товар A,9,194.42
2024-08-14,642,Товар D,8,945.72
2024-02-25,78,Товар A,9,508.14
2024-06-15,700,Товар D,7,167.81
2024-02-13,375,Товар A,3,430.72
2024-10-02,335,Товар C,4,943.62
2023-11-01,536,Товар B,8,579.39
2024-01-31,37,Товар D,10,573.97
2023-12-02,345,Товар D,2,923.89
2024-09-06,404,Товар B,9,171.76
2024-05-25,384,Товар A,8,445.02
2024-05-09,342,Товар C,7,531.06
2024-01-17,146,Товар B,5,835.69
2024-07-07,703,Товар C,5,524.76
2023-10-30,500,Товар B,8,131.87
2024-01-10,352,Товар A,4,745.58
2024-09-07,949,Товар E,8,460.72
2024-04-19,132,Товар B,9,551.42
2024-02-19,882,Товар A,7,691.16
2023-11-14,21,Товар D,9,447.35
2024-07-31,834,Товар A,10,327.98
2024-01-29,168,Товар A,8,893.42
2023-10-29,41,Товар E,5,979.56
2024-02-11,301,Товар D,9,560.12
2024-06-19,972,Товар B,9,335.27
2024-09-03,728,Товар C,3,675.3
2024-10-06,355,Товар D,1,568.31
2024-03-26,403,Товар B,6,304.07
2023-11-05,960,Товар D,2,322.1
2024-08-31,982,Товар B,7,512.96
2023-11-21,350,Товар D,1,899.97
2024-05-25,851,Товар D,8,793.42
2023-11-28,710,Товар C,2,377.22
2024-06-17,451,Товар E,8,716.51
2023-11-06,530,Товар E,3,584.83
2023-12-05,48,Товар D,9,981.2
2024-01-14,384,Товар B,1,974.53
2024-02-22,148,Товар E,5,472.6
2024-09-29,460,Товар E,8,549.73
2024-06-01,271,Товар B,9,823.83
2024-01-10,674,Товар B,8,306.19
2024-08-20,432,Товар C,2,315.69
2023-11-07,44,Товар B,7,195.21
2023-11-09,497,Товар D,4,852.73
2024-05-18,92,Товар B,3,834.09
2024-03-06,521,Товар D,9,515.21
2024-02-06,419,Товар A,3,734.72
2023-11-04,990,Товар E,5,445.1
2024-05-16,590,Товар C,3,555.06
2024-08-22,518,Товар B,8,727.11
2024-01-27,948,Товар E,6,450.0
2023-12-23,505,Товар B,10,663.13
2024-07-26,558,Товар D,5,930.96
2023-12-17,840,Товар B,7,936.66
2024-08-22,698,Товар C,2,408.38
2024-10-01,2,Товар C,4,566.16
2023-12-20,936,Товар C,10,433.99
2024-04-08,596,Товар A,7,195.18
2023-11-03,75,Товар C,9,855.36
2024-03-24,709,Товар A,2,866.8
2024-01-07,698,Товар D,1,548.24
2024-05-08,296,Товар E,9,711.31
2024-04-13,52,Товар E,10,803.06
2024-07-28,139,Товар E,9,838.4
2023-12-31,335,Товар D,1,741.14
2024-09-20,68,Товар C,9,379.14
2024-04-03,890,Товар E,8,722.93
2023-10-16,469,Товар C,7,537.79
2024-04-08,733,Товар A,7,422.68
2023-11-16,573,Товар A,4,248.05
2024-06-08,145,Товар B,2,878.17
2024-08-04,515,Товар A,1,354.39
2024-05-29,693,Товар D,10,832.06
2023-10-11,711,Товар C,9,620.75
2024-07-05,445,Товар B,6,431.66
2024-07-25,476,Товар E,6,235.5
2024-06-06,591,Товар A,5,838.47
2024-07-16,195,Товар E,10,980.21
2023-10-15,779,Товар C,6,365.39
2024-04-17,767,Товар B,1,149.11
2024-08-21,772,Товар D,3,588.98
2024-03-02,91,Товар D,6,893.86
2023-12-23,122,Товар E,3,928.9
2024-01-08,446,Товар B,1,918.92
2024-03-23,697,Товар A,3,456.36
2024-09-12,477,Товар B,1,385.81
2024-03-29,634,Товар A,3,717.68
2024-02-29,345,Товар A,6,196.91
2024-04-19,802,Товар E,1,334.07
2024-01-06,350,Товар B,8,570.22
2023-11-30,993,Товар B,1,787.69
2024-02-17,559,Товар D,6,207.57
2024-04-09,508,Товар E,2,733.67
2023-12-25,297,Товар D,4,663.06
2024-02-09,59,Товар A,2,235.53
2024-08-04,599,Товар C,1,684.2
2024-06-06,959,Товар D,8,142.6
2024-05-27,340,Товар C,1,970.71
2023-11-20,855,Товар E,3,656.32
2024-04-28,752,Товар E,1,764.64
2024-05-01,796,Товар B,1,427.47
2024-01-28,240,Товар A,10,182.39
2024-04-17,147,Товар C,9,343.99
2023-12-16,341,Товар C,2,741.35
2024-08-08,423,Товар E,6,519.42
2023-11-10,802,Товар E,8,330.67
2024-04-27,972,Товар D,4,100.56
2024-04-06,906,Товар B,1,565.16
2023-12-23,388,Товар B,6,411.09
2024-05-29,599,Товар D,5,867.5
2023-11-12,159,Товар A,6,594.75
2023-12-06,73,Товар E,2,270.72
2024-08-03,133,Товар A,2,710.18
2024-01-06,863,Товар B,5,319.94
2024-06-06,447,Товар B,5,695.22
2024-06-18,715,Товар D,1,175.59
2024-09-05,222,Товар C,2,269.56
2023-12-31,686,Товар A,5,327.87
2024-08-08,583,Товар E,5,736.19
2024-07-13,183,Товар A,3,308.28
2024-02-13,511,Товар B,10,995.76
2024-09-20,864,Товар B,5,461.04
2024-05-16,625,Товар E,1,722.08
2023-11-17,832,Товар B,10,234.11
2024-04-02,710,Товар E,4,670.57
2024-05-28,268,Товар A,8,889.98
2024-06-29,289,Товар E,7,513.68
2024-05-31,122,Товар C,3,950.27
2024-05-18,634,Товар A,10,614.14
2024-02-04,547,Товар D,4,778.12
2024-09-19,759,Товар C,6,162.74
2024-03-29,521,Товар B,6,260.67
2024-09-11,584,Товар B,8,302.65
2024-01-15,996,Товар D,4,873.54
2024-08-20,11,Товар A,5,296.08
2024-09-20,734,Товар A,9,942.09
2023-10-28,779,Товар E,9,527.15
2024-08-31,75,Товар D,6,453.88
2023-10-27,572,Товар B,6,498.62
2024-07-05,752,Товар D,4,201.12
2023-10-13,24,Товар A,9,909.33
2024-08-04,178,Товар E,1,298.72
2024-08-18,772,Товар A,6,894.97
2024-09-21,751,Товар A,2,827.19
2024-02-08,974,Товар A,3,352.67
2024-08-03,544,Товар E,8,539.6
2024-04-26,942,Товар A,5,272.91
2024-02-10,679,Товар B,5,576.08
2024-01-29,705,Товар D,3,209.31
2024-06-18,787,Товар A,8,435.6
2024-05-24,409,Товар E,4,409.02
2023-12-23,422,Товар E,10,512.39
2024-10-02,353,Товар E,8,734.88
2024-06-17,714,Товар D,8,123.33
2024-06-29,338,Товар C,7,135.4
2024-02-19,860,Товар D,1,294.8
2024-09-22,954,Товар C,6,883.91
2023-11-29,184,Товар D,8,780.68
2024-06-30,972,Товар E,10,789.54
2024-04-12,9,Товар A,9,570.29
2024-02-16,974,Товар C,2,749.52
2024-08-24,448,Товар A,5,607.94
2023-10-24,878,Товар A,8,813.95
2024-05-03,304,Товар B,3,579.02
2024-06-03,430,Товар B,2,842.25
2024-05-09,283,Товар A,4,646.87
2023-12-17,761,Товар D,8,548.03
2024-08-21,33,Товар C,6,889.29
2024-03-12,418,Товар C,5,896.24
2023-10-26,547,Товар B,5,830.66
2024-09-22,356,Товар C,5,335.04
2024-05-26,295,Товар A,8,761.14
2024-02-26,978,Товар B,9,609.94
2023-10-16,831,Товар D,4,350.21
2024-04-11,134,Товар B,10,593.53
2024-06-10,18,Товар D,1,945.95
2024-04-08,47,Товар D,6,246.31
2023-12-12,943,Товар A,3,361.21
2024-07-08,91,Товар A,10,661.47
2023-12-27,427,Товар C,7,354.05
2024-10-04,80,Товар D,1,225.51
2023-12-26,217,Товар E,9,970.32
2024-05-21,39,Товар C,2,736.45
2024-09-28,551,Товар D,5,323.64
2024-08-13,212,Товар D,5,715.6
2024-06-28,723,Товар D,8,466.49
2024-09-10,131,Товар C,5,225.9
2024-04-20,28,Товар C,4,127.92
2024-04-30,23,Товар D,9,101.11
2024-06-14,556,Товар E,9,789.23
2023-12-11,104,Товар D,7,134.34
2023-12-11,931,Товар B,4,823.45
2023-12-11,595,Товар A,7,248.95
2024-05-17,95,Товар E,8,139.78
2024-02-23,536,Товар B,3,657.19
2024-05-22,110,Товар C,7,705.75
2024-06-24,989,Товар B,10,809.54
2024-09-04,119,Товар C,10,257.0
2024-08-23,171,Товар D,1,101.11
2024-07-03,363,Товар C,3,835.61
2024-10-03,58,Товар E,2,994.06
2024-04-17,484,Товар B,5,276.06
2024-04-22,477,Товар B,8,302.15
2024-09-24,255,Товар D,2,590.21
2023-11-22,373,Товар A,3,363.46
2024-01-02,742,Товар C,9,772.86
2024-09-18,252,Товар D,8,750.4
2023-10-22,620,Товар B,10,467.76
2023-11-16,409,Товар D,7,958.41
2024-01-08,692,Товар B,8,891.55
2023-12-01,278,Товар E,6,248.13
2024-05-08,350,Товар A,5,444.75
2024-07-16,592,Товар E,3,535.37
2024-09-17,979,Товар E,6,866.83
2024-04-27,917,Товар E,7,533.98
2024-10-01,442,Товар A,8,459.85
2024-03-21,941,Товар B,8,310.65
2024-02-04,11,Товар D,7,223.73
2023-12-10,608,Товар C,2,545.63
2024-08-16,860,Товар D,6,433.72
2024-06-28,911,Товар A,7,998.59
2024-01-27,219,Товар B,6,153.71
2024-07-12,562,Товар C,2,674.15
2024-02-26,661,Товар A,1,926.65
2024-03-04,64,Товар D,4,385.57
2024-08-19,478,Товар A,9,958.48
2024-01-13,77,Товар B,4,370.6
2024-03-20,356,Товар A,8,616.38
2024-01-03,556,Товар C,1,981.07
2024-09-04,484,Товар E,5,115.04
2024-03-20,135,Товар B,3,138.39
2024-09-26,286,Товар B,4,105.61
2023-12-10,299,Товар B,7,714.05
2024-09-06,237,Товар C,3,544.6
2023-11-21,183,Товар D,1,219.95
2023-11-13,443,Товар E,7,225.24
2024-04-17,851,Товар E,3,266.71
2023-11-10,29,Товар D,8,454.92
2024-05-20,761,Товар C,10,915.12
2023-10-26,469,Товар B,8,166.97
2024-09-11,513,Товар D,3,732.19
2023-12-06,930,Товар E,10,398.29
2023-10-14,781,Товар D,9,814.79
2024-03-19,40,Товар A,9,456.97
2023-10-25,486,Товар E,3,755.95
2024-01-05,414,Товар B,8,317.28
2024-03-04,794,Товар E,3,494.77
2024-05-04,925,Товар B,8,729.57
2024-09-16,430,Товар D,7,877.45
2024-01-09,875,Товар E,5,286.05
2024-06-21,174,Товар A,5,202.92
2024-05-15,171,Товар D,7,166.59
2024-03-12,71,Товар B,8,795.46
