Дата,UserID,Продукт,Количество,Цена
2023-12-19,563,Товар D,5,154.66
2023-11-24,18,Товар C,1,945.36
2024-02-05,534,Товар E,6,857.68
2023-11-19,541,Товар E,5,280.52
2023-12-02,283,Товар B,2,838.76
2024-04-08,622,Товар B,5,629.47
2024-02-25,714,Товар B,2,979.33
2024-06-28,10,Товар A,1,170.59
2024-05-17,228,Товар A,1,549.5
2024-06-28,366,Товар B,5,283.7
2024-06-21,648,Товар B,6,932.13
2024-05-27,794,Товар D,10,599.25
2024-06-24,302,Товар D,8,586.09
2023-12-25,252,Товар D,2,601.18
2024-09-19,566,Товар C,9,901.56
2023-11-25,262,Товар E,6,986.59
2024-03-12,920,Товар C,3,902.1
2024-02-24,480,Товар B,9,818.13
2023-11-18,6,Товар C,3,977.42
2023-11-22,993,Товар E,6,878.53
2024-02-17,555,Товар B,6,777.43
2024-02-04,933,Товар C,4,964.97
2024-02-14,261,Товар D,8,340.59
2023-10-29,528,Товар C,8,650.29
2024-08-15,406,Товар E,10,344.25
2023-11-10,489,Товар D,10,817.51
2024-07-20,145,Товар D,10,923.32
2024-04-24,220,Товар E,8,141.62
2023-10-23,641,Товар A,5,752.63
2023-11-22,3,Товар A,8,149.19
2023-12-27,197,Товар B,8,276.82
2023-10-26,239,Товар E,8,518.75
2024-03-20,76,Товар B,10,933.31
2024-01-07,659,Товар C,3,867.32
2024-08-28,885,Товар A,1,313.24
2024-10-04,265,Товар D,8,970.95
2023-12-01,242,Товар E,6,797.69
2024-08-08,583,Товар B,9,442.5
2024-01-22,348,Товар A,6,995.53
2024-09-24,752,Товар C,8,806.28
2024-07-18,169,Товар E,2,415.96
2024-09-29,390,Товар A,9,521.79
2023-12-31,46,Товар A,2,917.51
2024-07-14,943,Товар A,6,805.19
2024-03-30,175,Товар B,8,536.6
2023-12-01,33,Товар A,4,174.34
2024-05-30,967,Товар A,5,439.09
2024-09-07,155,Товар C,3,790.73
2023-12-01,578,Товар A,6,848.5
2024-05-19,967,Товар C,1,228.44
2024-01-23,407,Товар E,4,791.7
2024-06-25,444,Товар C,6,573.7
2024-09-30,82,Товар B,5,265.08
2024-06-04,489,Товар B,4,784.88
2024-01-08,311,Товар C,3,326.66
2024-01-03,825,Товар B,5,699.7
2024-01-06,536,Товар A,4,846.88
2023-10-29,648,Товар E,6,257.85
2024-08-11,48,Товар B,9,866.29
2023-11-02,852,Товар E,9,200.72
2024-03-28,784,Товар C,3,280.6
2024-06-05,323,Товар B,3,786.32
2024-05-16,841,Товар E,8,367.64
2023-11-07,586,Товар C,2,814.74
